#RIC,Date[L],Time[L],Type,Qualifiers,Open,High,Low,Last,Volume,Open Interest,Settle,Data Source,returns,SMA,TSV,TS,Order
BHP.AX,24-Jan-2000,,End Of Day,,19.509,19.7,19.35,19.39,1978287,,,Verified,,,,,
BHP.AX,25-Jan-2000,,End Of Day,,19.007,19.437,19,19.437,3177987,,,Verified,0.00242393,,,,
BHP.AX,27-Jan-2000,,End Of Day,,19.258,19.4,19.03,19.2,4433236,,,Verified,-0.01219324,,,,
BHP.AX,28-Jan-2000,,End Of Day,,19.1,19.27,18.9,19,6623431,,,Verified,-0.010416667,-0.005046494,,,
BHP.AX,31-Jan-2000,,End Of Day,,18.714,18.81,18.48,18.745,3572005,,,Verified,-0.013421053,-0.008401757,-0.003355263,Sell,Sell
BHP.AX,01-Feb-2000,,End Of Day,,18.822,18.85,18.45,18.458,2869382,,,Verified,-0.01531075,-0.012835427,-0.00443367,Sell,
BHP.AX,02-Feb-2000,,End Of Day,,18.45,19.1,18.45,18.7,3858483,,,Verified,0.013110846,-0.006509406,0.006326021,Buy,Buy
BHP.AX,03-Feb-2000,,End Of Day,,18.731,18.95,18.17,18.5,4468485,,,Verified,-0.010695187,-0.006579036,-6.96301E-05,Undefined,
BHP.AX,04-Feb-2000,,End Of Day,,18.5,18.75,18.3,18.32,3357287,,,Verified,-0.00972973,-0.005656205,0.000922831,Undefined,
BHP.AX,07-Feb-2000,,End Of Day,,18.208,18.95,18.2,18.804,2827976,,,Verified,0.026419214,0.004776286,0.010432491,Buy,Buy
BHP.AX,08-Feb-2000,,End Of Day,,18.7,19.05,18.7,19,2212790,,,Verified,0.010423314,0.004104403,-0.000671883,Undefined,
BHP.AX,09-Feb-2000,,End Of Day,,19,19,18.3,18.35,2948080,,,Verified,-0.034210526,-0.001774432,-0.005878835,Sell,Sell
BHP.AX,10-Feb-2000,,End Of Day,,18.1,18.1,17.5,17.583,9189981,,,Verified,-0.041798365,-0.009791591,-0.008017159,Sell,
BHP.AX,11-Feb-2000,,End Of Day,,17.674,17.8,17.5,17.53,4667880,,,Verified,-0.003014275,-0.017149963,-0.007358372,Sell,
