Company Name,Date/Time,Price,Volume,Value,Bid/ask
AGO.AX,2005/MAY/17,0.28,100,28.0,Buy
AGO.AX,2005/MAY/31,0.225,100,22.5,Sell
AGO.AX,2006/JAN/11,0.46,100,46.0,Buy
AGO.AX,2006/JAN/19,0.37,100,37.0,Sell
AGO.AX,2008/NOV/24,0.55,100,55.0,Buy
AGO.AX,2009/JAN/15,1.395,100,139.5,Sell
AGO.AX,2015/JAN/02,0.23,100,23.0,Buy
AGO.AX,2015/JAN/12,0.225,100,22.5,Sell
BCI.AX,2006/DEC/27,0.78,100,78.0,Buy
BCI.AX,2007/MAY/11,1.53,100,153.0,Sell
BCI.AX,2009/JAN/07,0.345,100,34.5,Buy
BCI.AX,2009/JAN/15,0.31,100,31.0,Sell
BCI.AX,2009/APR/02,0.6,100,60.0,Buy
BCI.AX,2009/JUN/16,1.27,100,127.0,Sell
BCI.AX,2015/APR/23,0.4,100,40.0,Buy
BDR.AX,2008/MAY/15,0.38,100,38.0,Buy
BDR.AX,2008/MAY/26,0.405,100,40.5,Sell
BDR.AX,2008/AUG/25,0.13,100,13.0,Buy
BDR.AX,2008/SEP/03,0.13,100,13.0,Sell
BDR.AX,2008/OCT/07,0.079,100,7.9,Buy
BDR.AX,2008/DEC/24,0.065,100,6.5,Sell
BDR.AX,2009/JAN/02,0.089,100,8.9,Buy
BDR.AX,2009/MAR/12,0.041,100,4.1,Sell
BDR.AX,2009/MAR/23,0.065,100,6.5,Buy
BDR.AX,2009/APR/23,0.045,100,4.5,Sell
BDR.AX,2009/MAY/14,0.056,100,5.6,Buy
BDR.AX,2009/MAY/26,0.07,100,7.0,Sell
BDR.AX,2009/JUL/15,0.12,100,12.0,Buy
BDR.AX,2009/JUL/24,0.082,100,8.2,Sell
BDR.AX,2009/NOV/23,0.14,100,14.0,Buy
BDR.AX,2009/DEC/01,0.12,100,12.0,Sell
BDR.AX,2009/DEC/07,0.165,100,16.5,Buy
BDR.AX,2009/DEC/15,0.29,100,29.0,Sell
BDR.AX,2010/JAN/05,0.35,100,35.0,Buy
BDR.AX,2010/JAN/13,0.32,100,32.0,Sell
BRL.AX,2013/OCT/24,0.185,100,18.5,Buy
BRL.AX,2013/NOV/01,0.195,100,19.5,Sell
BRL.AX,2014/MAR/05,0.08,100,8.0,Buy
BRL.AX,2015/JAN/02,0.029,100,2.9,Sell
BRU.AX,2010/NOV/05,0.46,100,46.0,Buy
BRU.AX,2010/NOV/15,0.55,100,55.0,Sell
BRU.AX,2015/APR/17,0.545,100,54.5,Buy
BRU.AX,2015/APR/27,0.545,100,54.5,Sell
CDU.AX,2000/JAN/25,0.14,100,14.0,Buy
CDU.AX,2000/JAN/27,0.1,100,10.0,Sell
CDU.AX,2000/JAN/28,0.135,100,13.5,Buy
CDU.AX,2000/FEB/02,0.1,100,10.0,Sell
CDU.AX,2000/APR/19,0.072,100,7.2,Buy
CDU.AX,2000/AUG/21,0.06,100,6.0,Sell
CDU.AX,2001/JUN/04,0.04,100,4.0,Buy
CDU.AX,2001/JUN/14,0.031,100,3.1,Sell
CDU.AX,2001/JUN/28,0.032,100,3.2,Buy
CDU.AX,2001/SEP/20,0.014,100,1.4,Sell
CDU.AX,2001/SEP/25,0.02,100,2.0,Buy
CDU.AX,2001/OCT/23,0.018,100,1.8,Sell
CDU.AX,2002/MAY/15,0.057,100,5.7,Buy
CDU.AX,2002/MAY/23,0.068,100,6.8,Sell
CDU.AX,2005/APR/20,0.038,100,3.8,Buy
CDU.AX,2005/MAY/04,0.033,100,3.3,Sell
CDU.AX,2005/JUL/11,0.028,100,2.8,Buy
CDU.AX,2005/JUL/26,0.19,100,19.0,Sell
CDU.AX,2005/AUG/03,0.2,100,20.0,Buy
CDU.AX,2005/AUG/12,0.19,100,19.0,Sell
CDU.AX,2006/MAR/24,0.39,100,39.0,Buy
CDU.AX,2006/JUL/17,3.56,100,356.0,Sell
CDU.AX,2006/JUL/20,3.79,100,379.0,Buy
CDU.AX,2006/JUL/21,3.37,100,337.0,Sell
CDU.AX,2006/JUL/25,2.75,100,275.0,Buy
CDU.AX,2006/JUL/28,2.93,100,293.0,Sell
CDU.AX,2010/AUG/24,2.22,100,222.0,Buy
COE.AX,2003/SEP/23,0.225,100,22.5,Buy
COE.AX,2003/OCT/01,0.245,100,24.5,Sell
COE.AX,2007/DEC/03,1.155,100,115.5,Buy
COE.AX,2007/DEC/11,0.89,100,89.0,Sell
DLS.AX,2000/FEB/08,0.051,100,5.1,Sell
DLS.AX,2001/MAR/09,0.042,100,4.2,Buy
DLS.AX,2001/MAR/20,0.037,100,3.7,Sell
