#RIC,Date[L],Time[L],Type,Qualifiers,Open,High,Low,Last,Volume,Open Interest,Settle,Data Source
FMEG.DE,01-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
FMEG.DE,02-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
FMEG.DE,03-JAN-2000,,End Of Day,,87,87.69,81.7,82.42,184613,,,Verified
FMEG.DE,04-JAN-2000,,End Of Day,,83.3,83.3,79.8,79.8,200081,,,Verified
FMEG.DE,05-JAN-2000,,End Of Day,,79.29,79.41,76.69,76.69,186717,,,Verified
FMEG.DE,06-JAN-2000,,End Of Day,,77.75,78,75.75,76,92970,,,Verified
FMEG.DE,07-JAN-2000,,End Of Day,,76.5,78.15,76.03,76.93,161681,,,Verified
FMEG.DE,08-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
FMEG.DE,09-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
FMEG.DE,10-JAN-2000,,End Of Day,,78.1,80.99,78.05,79,134597,,,Verified
FMEG.DE,11-JAN-2000,,End Of Day,,80,80,78,78,149827,,,Verified
FMEG.DE,12-JAN-2000,,End Of Day,,78.95,80,78.55,78.7,69043,,,Verified
FMEG.DE,13-JAN-2000,,End Of Day,,76.35,78.9,76.35,78,116613,,,Verified
FMEG.DE,14-JAN-2000,,End Of Day,,78.5,78.95,77.4,77.81,74182,,,Verified
FMEG.DE,15-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
FMEG.DE,16-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
FMEG.DE,17-JAN-2000,,End Of Day,,78.5,78.7,76.25,76.8,112426,,,Verified
FMEG.DE,18-JAN-2000,,End Of Day,,76.7,77.59,75.77,77.5,140346,,,Verified
FMEG.DE,19-JAN-2000,,End Of Day,,77.58,78.3,76.22,77.99,237157,,,Verified
FMEG.DE,20-JAN-2000,,End Of Day,,78.49,80.77,77.77,78.75,131587,,,Verified
FMEG.DE,21-JAN-2000,,End Of Day,,78.77,81.55,77.83,81.5,205548,,,Verified
