Company Name,Date/Time,Price,Volume,Value,Bid/ask
AGO.AX,2005/05/17,0.28,100,28.0,Buy
AGO.AX,2005/05/31,0.225,100,22.5,Sell
AGO.AX,2006/01/11,0.46,100,46.0,Buy
AGO.AX,2006/01/19,0.37,100,37.0,Sell
AGO.AX,2008/11/24,0.55,100,55.0,Buy
AGO.AX,2009/01/15,1.395,100,139.5,Sell
AGO.AX,2015/01/02,0.23,100,23.0,Buy
AGO.AX,2015/01/12,0.225,100,22.5,Sell
BCI.AX,2006/12/27,0.78,100,78.0,Buy
BCI.AX,2007/05/11,1.53,100,153.0,Sell
BCI.AX,2009/01/07,0.345,100,34.5,Buy
BCI.AX,2009/01/15,0.31,100,31.0,Sell
BCI.AX,2009/04/02,0.6,100,60.0,Buy
BCI.AX,2009/06/16,1.27,100,127.0,Sell
BCI.AX,2015/04/23,0.4,100,40.0,Buy
BDR.AX,2008/05/15,0.38,100,38.0,Buy
BDR.AX,2008/05/26,0.405,100,40.5,Sell
BDR.AX,2008/08/25,0.13,100,13.0,Buy
BDR.AX,2008/09/03,0.13,100,13.0,Sell
BDR.AX,2008/10/07,0.079,100,7.9,Buy
BDR.AX,2008/12/24,0.065,100,6.5,Sell
BDR.AX,2009/01/02,0.089,100,8.9,Buy
BDR.AX,2009/03/12,0.041,100,4.1,Sell
BDR.AX,2009/03/23,0.065,100,6.5,Buy
BDR.AX,2009/04/23,0.045,100,4.5,Sell
BDR.AX,2009/05/14,0.056,100,5.6,Buy
BDR.AX,2009/05/26,0.07,100,7.0,Sell
BDR.AX,2009/07/15,0.12,100,12.0,Buy
BDR.AX,2009/07/24,0.082,100,8.2,Sell
BDR.AX,2009/11/23,0.14,100,14.0,Buy
BDR.AX,2009/12/01,0.12,100,12.0,Sell
BDR.AX,2009/12/07,0.165,100,16.5,Buy
BDR.AX,2009/12/15,0.29,100,29.0,Sell
BDR.AX,2010/01/05,0.35,100,35.0,Buy
BDR.AX,2010/01/13,0.32,100,32.0,Sell
BRL.AX,2013/10/24,0.185,100,18.5,Buy
BRL.AX,2013/11/01,0.195,100,19.5,Sell
BRL.AX,2014/03/05,0.08,100,8.0,Buy
BRL.AX,2015/01/02,0.029,100,2.9,Sell
BRU.AX,2010/11/05,0.46,100,46.0,Buy
BRU.AX,2010/11/15,0.55,100,55.0,Sell
BRU.AX,2015/04/17,0.545,100,54.5,Buy
BRU.AX,2015/04/27,0.545,100,54.5,Sell
CDU.AX,2000/01/25,0.14,100,14.0,Buy
CDU.AX,2000/01/27,0.1,100,10.0,Sell
CDU.AX,2000/01/28,0.135,100,13.5,Buy
CDU.AX,2000/02/02,0.1,100,10.0,Sell
CDU.AX,2000/04/19,0.072,100,7.2,Buy
CDU.AX,2000/08/21,0.06,100,6.0,Sell
CDU.AX,2001/06/04,0.04,100,4.0,Buy
CDU.AX,2001/06/14,0.031,100,3.1,Sell
CDU.AX,2001/06/28,0.032,100,3.2,Buy
CDU.AX,2001/09/20,0.014,100,1.4,Sell
CDU.AX,2001/09/25,0.02,100,2.0,Buy
CDU.AX,2001/10/23,0.018,100,1.8,Sell
CDU.AX,2002/05/15,0.057,100,5.7,Buy
CDU.AX,2002/05/23,0.068,100,6.8,Sell
CDU.AX,2005/04/20,0.038,100,3.8,Buy
CDU.AX,2005/05/04,0.033,100,3.3,Sell
CDU.AX,2005/07/11,0.028,100,2.8,Buy
CDU.AX,2005/07/26,0.19,100,19.0,Sell
CDU.AX,2005/08/03,0.2,100,20.0,Buy
CDU.AX,2005/08/12,0.19,100,19.0,Sell
CDU.AX,2006/03/24,0.39,100,39.0,Buy
CDU.AX,2006/07/17,3.56,100,356.0,Sell
CDU.AX,2006/07/20,3.79,100,379.0,Buy
CDU.AX,2006/07/21,3.37,100,337.0,Sell
CDU.AX,2006/07/25,2.75,100,275.0,Buy
CDU.AX,2006/07/28,2.93,100,293.0,Sell
CDU.AX,2010/08/24,2.22,100,222.0,Buy
COE.AX,2003/09/23,0.225,100,22.5,Buy
COE.AX,2003/10/01,0.245,100,24.5,Sell
COE.AX,2007/12/03,1.155,100,115.5,Buy
COE.AX,2007/12/11,0.89,100,89.0,Sell
DLS.AX,2000/02/08,0.051,100,5.1,Sell
DLS.AX,2001/03/09,0.042,100,4.2,Buy
DLS.AX,2001/03/20,0.037,100,3.7,Sell
