#RIC,Date,Price,Volume,Value,Signal
CBA.AX,11-01-2000,25.285,100,2528.5,B
CBA.AX,13-01-2000,25.25,100,2525.0,S
CBA.AX,17-01-2000,25.89,100,2589.0,B
CBA.AX,18-01-2000,25.814,100,2581.4,S
CBA.AX,24-01-2000,25.6,100,2560.0,B
CBA.AX,31-01-2000,26.1,100,2610.0,S
CBA.AX,04-02-2000,25.56,100,2556.0,B
CBA.AX,08-02-2000,25.546,100,2554.6,S
CBA.AX,09-02-2000,25.8,100,2580.0,B
CBA.AX,16-02-2000,26.88,100,2688.0,S
CBA.AX,22-02-2000,26.064,100,2606.4,B
CBA.AX,24-02-2000,26.008,100,2600.8,S
CBA.AX,25-02-2000,25.97,100,2597.0,B
CBA.AX,28-02-2000,25.235,100,2523.5,S
CBA.AX,01-03-2000,25.8,100,2580.0,B
CBA.AX,02-03-2000,25.65,100,2565.0,S
CBA.AX,03-03-2000,25.241,100,2524.1,B
CBA.AX,07-03-2000,24.7,100,2470.0,S
CBA.AX,13-03-2000,23.12,100,2312.0,B
CBA.AX,17-03-2000,23.0,100,2300.0,S
CBA.AX,22-03-2000,22.66,100,2266.0,B
CBA.AX,30-03-2000,22.656,100,2265.6,S
CBA.AX,03-04-2000,23.002,100,2300.2,B
CBA.AX,07-04-2000,23.77,100,2377.0,S
CBA.AX,12-04-2000,24.274,100,2427.4,B
CBA.AX,17-04-2000,24.895,100,2489.5,S
CBA.AX,18-04-2000,25.874,100,2587.4,B
CBA.AX,19-04-2000,26.15,100,2615.0,S
CBA.AX,26-04-2000,26.6,100,2660.0,B
CBA.AX,27-04-2000,26.51,100,2651.0,S
CBA.AX,04-05-2000,25.6,100,2560.0,B
CBA.AX,11-05-2000,26.8,100,2680.0,S
CBA.AX,16-05-2000,26.85,100,2685.0,B
CBA.AX,23-05-2000,27.891,100,2789.1,S
CBA.AX,29-05-2000,27.95,100,2795.0,B
CBA.AX,30-05-2000,27.844,100,2784.4,S
CBA.AX,31-05-2000,27.881,100,2788.1,B
CBA.AX,01-06-2000,27.129,100,2712.9,S
CBA.AX,05-06-2000,27.14,100,2714.0,B
CBA.AX,08-06-2000,26.95,100,2695.0,S
CBA.AX,15-06-2000,26.605,100,2660.5,B
CBA.AX,21-06-2000,26.943,100,2694.3,S
CBA.AX,23-06-2000,26.649,100,2664.9,B
CBA.AX,29-06-2000,27.3,100,2730.0,S
CBA.AX,04-07-2000,27.47,100,2747.0,B
CBA.AX,06-07-2000,27.36,100,2736.0,S
CBA.AX,07-07-2000,27.166,100,2716.6,B
CBA.AX,14-07-2000,27.595,100,2759.5,S
CBA.AX,20-07-2000,27.852,100,2785.2,B
CBA.AX,26-07-2000,28.07,100,2807.0,S
CBA.AX,02-08-2000,27.82,100,2782.0,B
CBA.AX,08-08-2000,27.653,100,2765.3,S
CBA.AX,09-08-2000,27.85,100,2785.0,B
CBA.AX,11-08-2000,28.01,100,2801.0,S
CBA.AX,17-08-2000,28.155,100,2815.5,B
CBA.AX,28-08-2000,29.65,100,2965.0,S
CBA.AX,01-09-2000,27.9,100,2790.0,B
CBA.AX,04-09-2000,27.17,100,2717.0,S
CBA.AX,05-09-2000,27.1,100,2710.0,B
CBA.AX,07-09-2000,26.86,100,2686.0,S
CBA.AX,08-09-2000,27.109,100,2710.9,B
CBA.AX,14-09-2000,27.492,100,2749.2,S
CBA.AX,20-09-2000,26.66,100,2666.0,B
CBA.AX,26-09-2000,27.175,100,2717.5,S
CBA.AX,28-09-2000,27.45,100,2745.0,B
CBA.AX,05-10-2000,28.04,100,2804.0,S
CBA.AX,11-10-2000,27.9,100,2790.0,B
CBA.AX,17-10-2000,28.453,100,2845.3,S
CBA.AX,25-10-2000,29.15,100,2915.0,B
CBA.AX,26-10-2000,29.1,100,2910.0,S
CBA.AX,01-11-2000,29.314,100,2931.4,B
CBA.AX,07-11-2000,30.0,100,3000.0,S
CBA.AX,16-11-2000,29.8,100,2980.0,B
CBA.AX,21-11-2000,30.57,100,3057.0,S
CBA.AX,23-11-2000,31.3,100,3130.0,B
CBA.AX,24-11-2000,30.85,100,3085.0,S
CBA.AX,27-11-2000,31.14,100,3114.0,B
CBA.AX,29-11-2000,31.715,100,3171.5,S
CBA.AX,30-11-2000,31.693,100,3169.3,B
CBA.AX,01-12-2000,31.861,100,3186.1,S
CBA.AX,11-12-2000,31.86,100,3186.0,B
CBA.AX,12-12-2000,31.485,100,3148.5,S
CBA.AX,18-12-2000,30.27,100,3027.0,B
CBA.AX,21-12-2000,30.57,100,3057.0,S
CBA.AX,22-12-2000,31.7,100,3170.0,B
CBA.AX,27-12-2000,31.85,100,3185.0,S
CBA.AX,04-01-2001,31.594,100,3159.4,B
CBA.AX,08-01-2001,31.275,100,3127.5,S
CBA.AX,12-01-2001,30.75,100,3075.0,B
CBA.AX,18-01-2001,30.26,100,3026.0,S
CBA.AX,22-01-2001,30.765,100,3076.5,B
CBA.AX,31-01-2001,32.0,100,3200.0,S
CBA.AX,06-02-2001,31.702,100,3170.2,B
CBA.AX,07-02-2001,31.197,100,3119.7,S
CBA.AX,15-02-2001,29.55,100,2955.0,B
CBA.AX,22-02-2001,29.607,100,2960.7,S
CBA.AX,23-02-2001,29.761,100,2976.1,B
CBA.AX,27-02-2001,30.101,100,3010.1,S
CBA.AX,28-02-2001,30.19,100,3019.0,B
CBA.AX,02-03-2001,31.2,100,3120.0,S
CBA.AX,05-03-2001,31.65,100,3165.0,B
CBA.AX,06-03-2001,31.267,100,3126.7,S
CBA.AX,12-03-2001,30.79,100,3079.0,B
CBA.AX,13-03-2001,30.162,100,3016.2,S
CBA.AX,14-03-2001,30.34,100,3034.0,B
CBA.AX,15-03-2001,30.274,100,3027.4,S
CBA.AX,27-03-2001,27.666,100,2766.6,B
CBA.AX,30-03-2001,28.6,100,2860.0,S
CBA.AX,02-04-2001,28.78,100,2878.0,B
CBA.AX,03-04-2001,29.18,100,2918.0,S
CBA.AX,05-04-2001,29.29,100,2929.0,B
CBA.AX,06-04-2001,28.84,100,2884.0,S
CBA.AX,11-04-2001,28.39,100,2839.0,B
CBA.AX,18-04-2001,28.51,100,2851.0,S
CBA.AX,19-04-2001,29.1,100,2910.0,B
CBA.AX,20-04-2001,29.081,100,2908.1,S
CBA.AX,23-04-2001,29.35,100,2935.0,B
CBA.AX,26-04-2001,29.48,100,2948.0,S
CBA.AX,02-05-2001,28.52,100,2852.0,B
CBA.AX,08-05-2001,28.49,100,2849.0,S
CBA.AX,10-05-2001,29.5,100,2950.0,B
CBA.AX,15-05-2001,30.25,100,3025.0,S
CBA.AX,21-05-2001,30.72,100,3072.0,B
CBA.AX,25-05-2001,30.943,100,3094.3,S
CBA.AX,31-05-2001,31.2,100,3120.0,B
CBA.AX,05-06-2001,31.2,100,3120.0,S
CBA.AX,08-06-2001,31.98,100,3198.0,B
CBA.AX,14-06-2001,32.609,100,3260.9,S
CBA.AX,20-06-2001,32.79,100,3279.0,B
CBA.AX,21-06-2001,32.68,100,3268.0,S
CBA.AX,22-06-2001,32.84,100,3284.0,B
CBA.AX,27-06-2001,33.24,100,3324.0,S
CBA.AX,29-06-2001,34.15,100,3415.0,B
CBA.AX,02-07-2001,32.61,100,3261.0,S
CBA.AX,04-07-2001,32.282,100,3228.2,B
CBA.AX,05-07-2001,31.26,100,3126.0,S
CBA.AX,06-07-2001,31.35,100,3135.0,B
CBA.AX,18-07-2001,31.394,100,3139.4,S
CBA.AX,19-07-2001,31.87,100,3187.0,B
CBA.AX,20-07-2001,31.44,100,3144.0,S
CBA.AX,23-07-2001,31.58,100,3158.0,B
CBA.AX,24-07-2001,31.2,100,3120.0,S
CBA.AX,30-07-2001,29.86,100,2986.0,B
CBA.AX,31-07-2001,29.5,100,2950.0,S
CBA.AX,01-08-2001,30.37,100,3037.0,B
CBA.AX,03-08-2001,29.87,100,2987.0,S
CBA.AX,06-08-2001,30.42,100,3042.0,B
CBA.AX,07-08-2001,30.563,100,3056.3,S
CBA.AX,09-08-2001,30.902,100,3090.2,B
CBA.AX,10-08-2001,30.77,100,3077.0,S
CBA.AX,14-08-2001,30.7,100,3070.0,B
CBA.AX,20-08-2001,31.5,100,3150.0,S
CBA.AX,24-08-2001,30.4,100,3040.0,B
CBA.AX,27-08-2001,30.05,100,3005.0,S
CBA.AX,28-08-2001,30.5,100,3050.0,B
CBA.AX,30-08-2001,30.04,100,3004.0,S
CBA.AX,04-09-2001,29.817,100,2981.7,B
CBA.AX,07-09-2001,28.611,100,2861.1,S
CBA.AX,10-09-2001,29.44,100,2944.0,B
CBA.AX,12-09-2001,28.218,100,2821.8,S
CBA.AX,13-09-2001,28.2,100,2820.0,B
CBA.AX,14-09-2001,27.379,100,2737.9,S
CBA.AX,18-09-2001,27.0,100,2700.0,B
CBA.AX,19-09-2001,26.79,100,2679.0,S
CBA.AX,21-09-2001,25.548,100,2554.8,B
CBA.AX,24-09-2001,25.14,100,2514.0,S
CBA.AX,25-09-2001,25.49,100,2549.0,B
CBA.AX,04-10-2001,27.6,100,2760.0,S
CBA.AX,10-10-2001,27.05,100,2705.0,B
CBA.AX,16-10-2001,27.73,100,2773.0,S
CBA.AX,17-10-2001,28.45,100,2845.0,B
CBA.AX,18-10-2001,27.85,100,2785.0,S
CBA.AX,22-10-2001,27.705,100,2770.5,B
CBA.AX,23-10-2001,27.97,100,2797.0,S
CBA.AX,24-10-2001,28.6,100,2860.0,B
CBA.AX,26-10-2001,29.002,100,2900.2,S
CBA.AX,05-11-2001,30.342,100,3034.2,B
CBA.AX,07-11-2001,30.3,100,3030.0,S
CBA.AX,08-11-2001,31.008,100,3100.8,B
CBA.AX,09-11-2001,30.9,100,3090.0,S
CBA.AX,13-11-2001,30.62,100,3062.0,B
CBA.AX,14-11-2001,30.57,100,3057.0,S
CBA.AX,19-11-2001,29.4,100,2940.0,B
CBA.AX,28-11-2001,29.265,100,2926.5,S
CBA.AX,04-12-2001,28.22,100,2822.0,B
CBA.AX,11-12-2001,28.294,100,2829.4,S
CBA.AX,14-12-2001,28.207,100,2820.7,B
CBA.AX,31-12-2001,29.94,100,2994.0,S
CBA.AX,07-01-2002,30.057,100,3005.7,B
CBA.AX,08-01-2002,29.99,100,2999.0,S
CBA.AX,11-01-2002,30.21,100,3021.0,B
CBA.AX,17-01-2002,31.15,100,3115.0,S
CBA.AX,21-01-2002,31.404,100,3140.4,B
CBA.AX,22-01-2002,31.81,100,3181.0,S
CBA.AX,29-01-2002,32.89,100,3289.0,B
CBA.AX,01-02-2002,32.8,100,3280.0,S
CBA.AX,11-02-2002,32.21,100,3221.0,B
CBA.AX,15-02-2002,33.17,100,3317.0,S
CBA.AX,21-02-2002,32.03,100,3203.0,B
CBA.AX,05-03-2002,31.6,100,3160.0,S
CBA.AX,07-03-2002,31.8,100,3180.0,B
CBA.AX,13-03-2002,31.158,100,3115.8,S
CBA.AX,14-03-2002,31.393,100,3139.3,B
CBA.AX,20-03-2002,32.12,100,3212.0,S
CBA.AX,27-03-2002,31.76,100,3176.0,B
CBA.AX,02-04-2002,31.44,100,3144.0,S
CBA.AX,03-04-2002,31.28,100,3128.0,B
CBA.AX,04-04-2002,31.43,100,3143.0,S
CBA.AX,08-04-2002,31.6,100,3160.0,B
CBA.AX,11-04-2002,31.25,100,3125.0,S
CBA.AX,15-04-2002,31.56,100,3156.0,B
CBA.AX,19-04-2002,32.22,100,3222.0,S
CBA.AX,23-04-2002,32.41,100,3241.0,B
CBA.AX,30-04-2002,32.85,100,3285.0,S
CBA.AX,01-05-2002,33.16,100,3316.0,B
CBA.AX,02-05-2002,33.35,100,3335.0,S
CBA.AX,03-05-2002,33.6,100,3360.0,B
CBA.AX,06-05-2002,33.56,100,3356.0,S
CBA.AX,15-05-2002,32.51,100,3251.0,B
CBA.AX,21-05-2002,32.24,100,3224.0,S
CBA.AX,22-05-2002,32.26,100,3226.0,B
CBA.AX,04-06-2002,33.81,100,3381.0,S
CBA.AX,11-06-2002,34.71,100,3471.0,B
CBA.AX,13-06-2002,34.38,100,3438.0,S
CBA.AX,19-06-2002,33.97,100,3397.0,B
CBA.AX,21-06-2002,33.59,100,3359.0,S
CBA.AX,24-06-2002,33.74,100,3374.0,B
CBA.AX,26-06-2002,32.91,100,3291.0,S
CBA.AX,27-06-2002,33.02,100,3302.0,B
CBA.AX,28-06-2002,32.93,100,3293.0,S
CBA.AX,02-07-2002,31.98,100,3198.0,B
CBA.AX,03-07-2002,31.66,100,3166.0,S
CBA.AX,05-07-2002,31.7,100,3170.0,B
CBA.AX,11-07-2002,31.79,100,3179.0,S
CBA.AX,16-07-2002,31.47,100,3147.0,B
CBA.AX,17-07-2002,31.0,100,3100.0,S
CBA.AX,18-07-2002,31.16,100,3116.0,B
CBA.AX,19-07-2002,30.33,100,3033.0,S
CBA.AX,23-07-2002,30.36,100,3036.0,B
CBA.AX,24-07-2002,29.5,100,2950.0,S
CBA.AX,25-07-2002,29.8,100,2980.0,B
CBA.AX,26-07-2002,29.1,100,2910.0,S
CBA.AX,29-07-2002,30.05,100,3005.0,B
CBA.AX,02-08-2002,30.68,100,3068.0,S
CBA.AX,07-08-2002,31.32,100,3132.0,B
CBA.AX,13-08-2002,31.94,100,3194.0,S
CBA.AX,15-08-2002,32.23,100,3223.0,B
CBA.AX,16-08-2002,32.06,100,3206.0,S
CBA.AX,22-08-2002,32.25,100,3225.0,B
CBA.AX,26-08-2002,31.44,100,3144.0,S
CBA.AX,29-08-2002,31.01,100,3101.0,B
CBA.AX,04-09-2002,31.56,100,3156.0,S
CBA.AX,05-09-2002,32.02,100,3202.0,B
CBA.AX,06-09-2002,32.07,100,3207.0,S
CBA.AX,16-09-2002,31.84,100,3184.0,B
CBA.AX,20-09-2002,31.7,100,3170.0,S
CBA.AX,01-10-2002,30.2,100,3020.0,B
CBA.AX,07-10-2002,29.49,100,2949.0,S
CBA.AX,11-10-2002,28.42,100,2842.0,B
CBA.AX,17-10-2002,29.05,100,2905.0,S
CBA.AX,22-10-2002,29.75,100,2975.0,B
CBA.AX,24-10-2002,29.98,100,2998.0,S
CBA.AX,30-10-2002,29.71,100,2971.0,B
CBA.AX,01-11-2002,28.86,100,2886.0,S
CBA.AX,04-11-2002,28.8,100,2880.0,B
CBA.AX,05-11-2002,28.39,100,2839.0,S
CBA.AX,07-11-2002,27.67,100,2767.0,B
CBA.AX,08-11-2002,27.3,100,2730.0,S
CBA.AX,12-11-2002,27.39,100,2739.0,B
CBA.AX,18-11-2002,27.05,100,2705.0,S
CBA.AX,20-11-2002,27.12,100,2712.0,B
CBA.AX,26-11-2002,27.42,100,2742.0,S
CBA.AX,02-12-2002,27.18,100,2718.0,B
CBA.AX,06-12-2002,27.4,100,2740.0,S
CBA.AX,12-12-2002,27.38,100,2738.0,B
CBA.AX,16-12-2002,27.15,100,2715.0,S
CBA.AX,20-12-2002,27.25,100,2725.0,B
CBA.AX,30-12-2002,27.12,100,2712.0,S
CBA.AX,02-01-2003,27.34,100,2734.0,B
CBA.AX,08-01-2003,27.78,100,2778.0,S
CBA.AX,13-01-2003,27.62,100,2762.0,B
CBA.AX,16-01-2003,27.45,100,2745.0,S
CBA.AX,30-01-2003,26.02,100,2602.0,B
CBA.AX,31-01-2003,25.91,100,2591.0,S
CBA.AX,03-02-2003,26.57,100,2657.0,B
CBA.AX,05-02-2003,26.15,100,2615.0,S
CBA.AX,12-02-2003,25.91,100,2591.0,B
CBA.AX,13-02-2003,25.36,100,2536.0,S
CBA.AX,19-02-2003,24.31,100,2431.0,B
CBA.AX,20-02-2003,24.01,100,2401.0,S
CBA.AX,21-02-2003,24.65,100,2465.0,B
CBA.AX,25-02-2003,24.7,100,2470.0,S
CBA.AX,26-02-2003,24.89,100,2489.0,B
CBA.AX,27-02-2003,24.42,100,2442.0,S
CBA.AX,03-03-2003,24.95,100,2495.0,B
CBA.AX,04-03-2003,24.88,100,2488.0,S
CBA.AX,05-03-2003,24.69,100,2469.0,B
CBA.AX,07-03-2003,24.4,100,2440.0,S
CBA.AX,14-03-2003,23.66,100,2366.0,B
CBA.AX,20-03-2003,25.1,100,2510.0,S
CBA.AX,21-03-2003,25.03,100,2503.0,B
CBA.AX,24-03-2003,25.01,100,2501.0,S
CBA.AX,26-03-2003,25.57,100,2557.0,B
CBA.AX,31-03-2003,26.05,100,2605.0,S
CBA.AX,04-04-2003,26.5,100,2650.0,B
CBA.AX,09-04-2003,26.25,100,2625.0,S
CBA.AX,15-04-2003,26.69,100,2669.0,B
